Title,Star Rating,Main Content,Review Date
Great Tee Shirts - Quality and Variety,Rated 5 out of 5 stars,"I really like all the variety of designs and styles available with TeePublic. Found WAY too many that I just had to have, and several more for gifts for good friends. I keep going back and browsing for more in different categories. The tee shirts are high quality and the designs have already gone through several washings and will most likely age very well. Definitely will continue to be a return customer.",2024-05-24T04:59:33.000Z
the process was simple and I got my…,Rated 5 out of 5 stars,the process was simple and I got my tshirt in a timely manner. nuff said.,2024-05-24T04:55:15.000Z
Thermionics EL-84 Tube T-shirt,Rated 5 out of 5 stars,"The transaction from ordering to receipt of the merchandise was about a week.  The shirt material is  nice and soft and the design is high quality silk screening, not some cheap iron on.  With proper care it should last a long while.  Would do business again without reservation with this vendor if the opportunity presents itself.",2024-05-24T04:50:13.000Z
Happy customer. Will buy again,Rated 5 out of 5 stars,Customer service is the best,2024-05-24T04:48:29.000Z
Great fit,Rated 5 out of 5 stars,"Great fit, just what I ordered",2024-05-24T04:40:28.000Z
Don’t but low quality,Rated 2 out of 5 stars,T. Shirt very low quality and print on shirt very poor quality Cheap cotton for shirt Would not recommend,2024-05-24T04:38:59.000Z
Could not believe that we got our tees…,Rated 5 out of 5 stars,Could not believe that we got our tees so fast! Absolutely loved the design and quality! 💯 recommend!!,2024-05-24T04:35:56.000Z
Great Quality,Rated 5 out of 5 stars,Great Quality,2024-05-24T04:31:45.000Z
Love the designs,Rated 5 out of 5 stars,"Love the designs, love how light weight the shirts are but good quality!",2024-05-24T04:28:55.000Z
Gift,Rated 5 out of 5 stars,"Bought a couple t shirts as a gift. She loved them. Funny shirts, quality, quick shipping. Will definitely buy again.",2024-05-24T04:28:25.000Z
I can't call and talk to anyone there…,Rated 1 out of 5 stars,I can't call and talk to anyone there is no phone number.  The response from customer service is terrible.  This was my first time ordering but they barely respond to my messages.,2024-05-24T04:26:54.000Z
The shirt is too short,Rated 3 out of 5 stars,The shirt is too short. Ordered a 2x but it is very short and doesn't cover entire torso.,2024-05-24T04:24:26.000Z
well..,Rated 1 out of 5 stars,"well, the sweatshirt I got was too big, and I would have gladly sent it back, I was told to keep it and the correct size was on the way, which I really appreciate, but when I opened the packed it had a giant black ink split right on the front, talk about going from stoked to not in  seconds flat. :(",2024-05-24T04:22:04.000Z
Good quality t-shirts,Rated 5 out of 5 stars,Good quality t-shirts. Haven't washed them yet but the materials seem good and fit is perfect. Would recommend,2024-05-24T04:14:31.000Z
Female Fit.. Not!,Rated 2 out of 5 stars,"Let me start by saying that the artwork was great, I loved it. I ordered the female fit which I thought would be a more feminine look, but instead it was just wide, almost box shaped.  I was really disappointed on how it fit and hid my figure.",2024-05-24T04:11:48.000Z
Nice Shirt received exactly what I ordered…,Rated 4 out of 5 stars,I received exactly what I ordered quickly.  The shirt was well made and soft.,2024-05-24T04:11:19.000Z
Love all of the shirts,Rated 5 out of 5 stars,Love all of the shirts. And love this site.,2024-05-24T03:53:48.000Z
Fantastic!,Rated 5 out of 5 stars,Both tee's and the sticker turned out great.  Super fast turnaround on the order too.  Thanks!,2024-05-24T03:52:13.000Z
Great shirts,Rated 5 out of 5 stars,"Great shirts, quality printing and fast shipping. I will definitely be back for more.",2024-05-24T03:48:18.000Z
Great shirt,Rated 5 out of 5 stars,She loved this shirt,2024-05-24T03:43:34.000Z
One Foot in the Grave!!!,Rated 5 out of 5 stars,My foot was amputated little over a year ago. I try to keep a positive attitude.  People love your shirts and people think it's great I can laugh at myself.,2024-05-24T03:39:32.000Z
I really love the design but I feel,Rated 3 out of 5 stars,I really love the design but I feelSizing was off and the XL I ordered is more like a size medium compared to others I own. I do however like the lightness of the hoodie! Mixed feelings.,2024-05-24T03:31:52.000Z
Fabulous designs,Rated 5 out of 5 stars,"Fabulous designs, easy to navigate website and quick delivery.",2024-05-24T03:31:41.000Z
Product was delivered on time,Rated 5 out of 5 stars,Product was delivered on time. Exchange process is one of the best in the business.,2024-05-24T03:30:07.000Z
Easy to order,Rated 5 out of 5 stars,"Easy to order, quick service",2024-05-24T03:29:24.000Z
Great quality!,Rated 5 out of 5 stars,Fast service. Great prices. Excellent quality.,2024-05-24T03:28:15.000Z
On time and got what I ordered,Rated 5 out of 5 stars,,2024-05-24T03:20:42.000Z
The shirts look exactly like they were…,Rated 5 out of 5 stars,The shirts look exactly like they were advertised.Quick shipping,2024-05-24T03:19:02.000Z
Just what I wanted,Rated 5 out of 5 stars,Just what I wanted. Fast delivery,2024-05-24T03:11:31.000Z
very great selection shirts,Rated 5 out of 5 stars,very great selection shirts,2024-05-24T03:09:25.000Z
I bought stuff there before good…,Rated 5 out of 5 stars,"I bought stuff there before good prices, quality goods",2024-05-24T02:51:35.000Z
Fast shipping and shirts are great,Rated 5 out of 5 stars,Fast shipping and shirts are great. Thanks!,2024-05-24T02:42:08.000Z
i am fond of this website and the…,Rated 5 out of 5 stars,i am fond of this website and the service it has,2024-05-24T02:41:11.000Z
Looks great can't wait to try it on…,Rated 5 out of 5 stars,Looks great can't wait to try it on came quick,2024-05-24T02:37:46.000Z
Love it!,Rated 5 out of 5 stars,My t shirt arrived quickly and it fits really well. I love it! The design is fun and cute and everyone compliments me on it.,2024-05-24T02:29:23.000Z
Fun design and great customer service,Rated 4 out of 5 stars,I love the way my second tee shirt came out! I had to reach out to customer service after receiving the first one because the ink washed off after one washing cycle! But customer service was great and sent me a replacement that seems to have been printed much better!,2024-05-24T02:17:04.000Z
Great website,Rated 5 out of 5 stars,"Great website, more importantly, great designs. Unique stuff. Good quality and efficient service too. So pretty awesome!",2024-05-24T01:58:39.000Z
The shirts are great quality,Rated 5 out of 5 stars,"The shirts are great quality, comfortable, and fit very well. The artwork is beautiful, and exactly what I wanted.",2024-05-24T01:56:49.000Z
Good communication,Rated 5 out of 5 stars,"Good communication, quick service, very nice product. I would order again.",2024-05-24T01:56:30.000Z
I saw a photo of a shirt I wanted…,Rated 5 out of 5 stars,"I saw a photo of a shirt and I wanted one. (I'm with the Banned.) Internet search turned up several sources, but TeePublic let me choose men's or women's style (other sites were not clear).  Reasonable price — not the cheapest, but not very high. Ordered the shirt, it arrived promptly, it's what I ordered,  size was good, all cotton, by the way. I got several compliments first time I wore it. It still looks good after first washing. I'm happy.",2024-05-24T01:51:14.000Z
Good product for a decent price,Rated 5 out of 5 stars,,2024-05-24T01:45:14.000Z
Fine purchase.,Rated 5 out of 5 stars,Excellence all around. Highly pleased with purchase.,2024-05-24T01:33:24.000Z
Great products,Rated 5 out of 5 stars,"Great products, loves the tshirts. Amazing quality and quick shipping",2024-05-24T01:15:53.000Z
Quick delivery,Rated 5 out of 5 stars,,2024-05-24T01:08:09.000Z
Love that we can choose colours to go…,Rated 5 out of 5 stars,Love that we can choose colours to go with the designs. I'm in Australia and dispatch and delivery was nice and fast. Will order again.,2024-05-24T01:04:31.000Z
Printed backwards,Rated 2 out of 5 stars,One of my ordered shirts was printed backwards and is useless.  I filed a report and have yet to hear back.,2024-05-24T00:54:21.000Z
Perfect all around!,Rated 5 out of 5 stars,,2024-05-24T00:41:09.000Z
Where's that from?,Rated 5 out of 5 stars,"The countless designs are fantastic, unique and are printed in decent size and great quality. It's fun to pick, customize and hear ppl asking ""where did you get that from?""",2024-05-24T00:34:30.000Z
Unique prints.,Rated 5 out of 5 stars,Ordering from here was easy. Great fitting premium tees. Awesome selection of prints. I love getting my graphic tees from here. Always the guy with unique shirts.,2024-05-24T00:27:21.000Z
Love the tshirt.,Rated 5 out of 5 stars,Love the tshirt.Made well.,2024-05-24T00:20:12.000Z
High quality product at a good price.,Rated 5 out of 5 stars,,2024-05-24T00:18:36.000Z
good quality shirt that arrived within…,Rated 5 out of 5 stars,good quality shirt that arrived within 1 week would buy from them again,2024-05-24T00:17:57.000Z
Out of this world,Rated 5 out of 5 stars,The delivery and QUALITY is perfection.,2024-05-24T00:13:44.000Z
It was a good experience,Rated 4 out of 5 stars,It was a good experience,2024-05-24T00:09:33.000Z
Incredible selections,Rated 5 out of 5 stars,Incredible selections. I love my V neck tees! True to size. Great quality and excellent speedy delivery.,2024-05-24T00:07:35.000Z
Love the Tees,Rated 5 out of 5 stars,,2024-05-24T00:06:53.000Z
Great design and really soft shirt,Rated 5 out of 5 stars,,2024-05-24T00:03:34.000Z
Great Products,Rated 5 out of 5 stars,Good quality product,2024-05-24T00:02:25.000Z
It's perfect,Rated 5 out of 5 stars,It's perfect! Thank you,2024-05-24T00:02:22.000Z
The products came exactly as shown on the website ❤️.,Rated 5 out of 5 stars,Fantastic products. The quality is really good. Muchas Gracias.,2024-05-23T23:58:44.000Z
Wasn’t what you advertised was cheap…,Rated 1 out of 5 stars,Wasn’t what you advertised was cheap Chinese 💩,2024-05-23T23:57:05.000Z
All the T-shirts came out better than I…,Rated 5 out of 5 stars,All the T-shirts came out better than I thought they would especially with all the detail.,2024-05-23T23:55:29.000Z
Excellent service,Rated 5 out of 5 stars,"The shirts are of great quality and exactly as expected!  The communication about shipping was perfect, and they got here earlier than anticipated.  Thrilled with my experience, and I plan to order again in the future.",2024-05-23T23:49:29.000Z
Quality shirt and fast delivery,Rated 5 out of 5 stars,Quality shirt and fast delivery,2024-05-23T23:46:51.000Z
This was a great experience,Rated 5 out of 5 stars,This was a great experience. From ordering to shipping to delivery! My daughter loves her shirt! It’s so soft and exactly what we wanted. I recommend sizing up. She’s 5’3 110lbs and typically size x small. I ordered small and it fits perfect but she likes her shirts a little big so a medium would have been better for her. But she’s super happy with it.,2024-05-23T23:42:38.000Z
The shirt is great,Rated 5 out of 5 stars,"The shirt is great, print is clear and clean, color is rich and all spelling is accurate. Will buy more but in more breathable materials",2024-05-23T23:31:21.000Z
I sent an email on 5/22/24 regarding my…,Rated 2 out of 5 stars,"I sent an email on 5/22/24 regarding my recent purchase. I'm just waiting for a reply back from you guys, hopefully my shirt can be fixed or replaced. I haven't worn it once yet and the graphic is peeling off the t-shirt horribly bad. I love the design and I just hope this can work out. This is my first purchase with you guys!",2024-05-23T23:26:39.000Z
It was easy to shop & order and I got…,Rated 5 out of 5 stars,It was easy to shop & order and I got my order so quickly - very pleased,2024-05-23T23:24:23.000Z
First time ordering and may be the last.,Rated 1 out of 5 stars,"It’s been 48 hours since I sent an email to your customer service and no response. I ordered 4 shirts and was extremely disappointed with what I received on 5/21/24! 2 were printed visibly crooked and another was noticeably off-center. I submitted pictures of the shirts with rulers to show the printing errors. Never would I have purchased shirts like this off of a rack. It’s like no one looked at them before putting them in the package. How hard is it to put a design on a T-shirt and then make sure it was done correctly? Still waiting to see how this is handled, but I will escalate it if they don’t provide a satisfactory resolution (ie correctly printed shirts), or show they don’t value a customer spending $80 to support their business.",2024-05-23T23:24:13.000Z
Great designs at a good price,Rated 5 out of 5 stars,Great designs at a good price. The shirts are really nice. Good comfy material and just the right sizes. Shipping was fast. I'll be ordering more in future from tee public,2024-05-23T23:20:22.000Z
I have made numerous purchases with…,Rated 5 out of 5 stars,I have made numerous purchases with great results. Recently somehow duplicate orders for same item. Extra orders were canceled and refunds issued. As promised they DID fix the problem.,2024-05-23T23:11:57.000Z
Came as advertised,Rated 5 out of 5 stars,Came as advertised . Good quality. Timely delivery.,2024-05-23T23:09:34.000Z
My recent order that I just got was…,Rated 5 out of 5 stars,My recent order that I just got was really cool teepulic gets what I love and i will look forward  to shopping online you guys are wonderful thanks so much richard,2024-05-23T23:04:34.000Z
👍awesome,Rated 5 out of 5 stars,👍awesome stuff,2024-05-23T23:02:06.000Z
Excellent product,Rated 5 out of 5 stars,Easy to order. Excellent product.  Arrived on time as promised.,2024-05-23T23:00:28.000Z
Great Shirts,Rated 5 out of 5 stars,"Great Shirts! Quality print job. Vibrant and accurate colors. I was really impressed by your product and I am definitely ordering more, because my wife wants some now! LOL!",2024-05-23T22:54:34.000Z
My purchase was exactly what I ordered,Rated 5 out of 5 stars,"My purchase was exactly what I ordered, no complaints. Good t-shirts.",2024-05-23T22:50:49.000Z
As advertised and fast shipping,Rated 5 out of 5 stars,As advertised and fast shipping,2024-05-23T22:48:52.000Z
Beautiful shirts,Rated 5 out of 5 stars,"Beautiful shirts!  Fit well!  One us extra soft, the other regular tshirt cloth.  Very happy!",2024-05-23T22:47:51.000Z
Great shirt with timely delivery,Rated 5 out of 5 stars,Great shirt with timely delivery,2024-05-23T22:47:35.000Z
Not true to size.,Rated 1 out of 5 stars,Not true to size.,2024-05-23T22:47:11.000Z
Unique Designs,Rated 5 out of 5 stars,I love the unique designs you can only find on tee public.,2024-05-23T22:46:54.000Z
The best,Rated 5 out of 5 stars,I just love the quality and value of your T-shirt’s. And the ordering process is easy and items are delivered quickly.,2024-05-23T22:40:04.000Z
Tri Blend Tshirts,Rated 4 out of 5 stars,Liked the design and the prices but 2 of the 4 shirts I bought were slightly smaller thanks the other 2 although all were mediums,2024-05-23T22:38:29.000Z
Very good fit,Rated 5 out of 5 stars,Very good fit. The thickness of the material is good.,2024-05-23T22:35:24.000Z
good,Rated 5 out of 5 stars,good good good,2024-05-23T22:35:03.000Z
Very happy customer …,Rated 5 out of 5 stars,The T-shirt arrived looking exactly like the sample online. It also arrived in the estimated time frame. Very happy with my purchase!,2024-05-23T22:28:35.000Z
My Go To For Everything T-Shirts.,Rated 5 out of 5 stars,I've lost track of how many TeePublic shirts I own. The shirts are always comfortable with great graphics. The best part is I can have just about whatever I want on my shirt. This is a great company I've been buying from for years.,2024-05-23T22:24:39.000Z
I really like Teepublic,Rated 5 out of 5 stars,I really like Teepublic. It has never-ending cool designs,2024-05-23T22:24:09.000Z
Great quality and good delivery time,Rated 5 out of 5 stars,Great quality and good delivery time. I've purchased many shirts and never had a problem,2024-05-23T22:18:57.000Z
T-shirts are well made,Rated 5 out of 5 stars,"T-shirts are well made, comfy, and fit well. TeePublic is very communicative about order status as well.",2024-05-23T22:14:05.000Z
3T tee,Rated 2 out of 5 stars,I need a 3T toddler tee. The sizing is way off. What I received is more fitting for a 9 month old.,2024-05-23T22:14:05.000Z
Compared to Tee Villain,Rated 5 out of 5 stars,"I love Tee Public! I found an original design that I get multiple compliments on.Shipping was quick, I received my order quickly.I had placed an order from another T-shirt company and was disappointed when a month in, I actually had to contact them for inquiry on ETA of my order. Frustrated from lack of communication, I pulled up T public and found my desired design, placed my order and within a weeks time received my order. Great quality! Funny enough, a few days after I got my order, the other company was barely reaching out with tracking info.Got my order from them a week after I received my order from Tee public. That's a month and a half after placing my order with them! Needless to say, I won't be ordering from them moving forward. keep up the great service!",2024-05-23T22:12:18.000Z
Stupid small,Rated 1 out of 5 stars,Stupid small shirt. Wear medium T shirts when ordering and recommended by size chart. This shirt could fit a small child. Can’t find contact info to get refund. Have to pay for shipping. Not a good deal. Other orders if the same size for great. This one is absurd.,2024-05-23T22:11:50.000Z
Amazing tee shirts,Rated 5 out of 5 stars,Tee shirts are amazing really cool unique designs good quality and fast delivery all at affordable prices.,2024-05-23T22:11:06.000Z
Great tee shirts,Rated 5 out of 5 stars,Great tee shirts. Great material. Shipping good. Thanks,2024-05-23T22:04:01.000Z
A++ LOVED IT AS ALWAYS WILL BUY AGAIN,Rated 5 out of 5 stars,A++ LOVED IT AS ALWAYS WILL BUY AGAIN! THANKS,2024-05-23T22:01:11.000Z
Teepublic has definitely improved over…,Rated 5 out of 5 stars,"Teepublic has definitely improved over the years. Print quality on the shirts is much better, as is the quality of the shirts themselves, though it's worth the extra $1 to get the heavyweight T.",2024-05-23T21:51:20.000Z
Tee Public Goes The Extra Mile,Rated 5 out of 5 stars,You guys are great. Your customer service is off the charts!,2024-05-23T21:49:59.000Z
Shipping took a little longer than…,Rated 4 out of 5 stars,Shipping took a little longer than anticipated. But overall a great product!!,2024-05-23T21:48:07.000Z
Excellent product,Rated 5 out of 5 stars,"Fast delivery, received shirt right away. Pleased with comfort and print on the shirt.",2024-05-23T21:46:48.000Z
The t-shirts are extremely short,Rated 2 out of 5 stars,"The t-shirts are extremely short. The width is fine but the length is extremely short, unless you like having your t-shirt just below your belly button I like mine to hang a little bit longer than that. I would recommend for TeePublic to use a different t-shirt one that's not so short in length. I love the designs, and the shipping was extremely fast but as far as the quality of t-shirt I would give it a thumbs down. The sad reality is I won't be wearing these T-shirts even after I spent $80 for three of them. So now they're just going to sit in my closet collecting dust.",2024-05-23T21:45:50.000Z
I am very happy with my purchases,Rated 5 out of 5 stars,I am very happy with my purchases. The t shirts are excellent quality.,2024-05-23T21:43:34.000Z
Toddler tee colts not bright and crisp…,Rated 3 out of 5 stars,Toddler tee colts not bright and crisp like men’s ter,2024-05-23T21:34:08.000Z
We love our tees!,Rated 5 out of 5 stars,"My wife just purchased a new Trimph Bobber Motorcycle and I wanted to get her a tee shirt. Not only did I get her the perfect shirt but I got an Indian Motorcycle Tee for myself. Great shirts, great fit too!",2024-05-23T21:32:48.000Z
Nice product quick delivery!,Rated 5 out of 5 stars,The product was as advertised and was delivered quickly.,2024-05-23T21:28:24.000Z
Excellent t shirts I highly recommend…,Rated 5 out of 5 stars,Excellent t shirts I highly recommend them.,2024-05-23T21:23:49.000Z
Amazing costumer service,Rated 5 out of 5 stars,Amazing costumer service,2024-05-23T21:21:26.000Z
Looks great.,Rated 5 out of 5 stars,,2024-05-23T21:21:22.000Z
Good quality T-shirt,Rated 5 out of 5 stars,"Good quality T-shirt, delivered quickly, size acurate to description all in all good service, will use again.",2024-05-23T21:14:55.000Z
my order was easy to complete ~ payment…,Rated 5 out of 5 stars,my order was easy to complete ~ payment was immediate and shipping was quick. Quality was good and size was as stated,2024-05-23T21:08:39.000Z
Very good quality!,Rated 5 out of 5 stars,Very good quality!! Fast shipping!! Love them!,2024-05-23T20:52:59.000Z
This is a gift for my daughter,Rated 5 out of 5 stars,"This is a gift for my daughter, for her birthday next week. Everything looks perfect she will love The Land of the Lost picture.",2024-05-23T20:52:50.000Z
Terrible quality,Rated 1 out of 5 stars,Terrible quality,2024-05-23T20:43:51.000Z
Still love  Teepublic,Rated 4 out of 5 stars,"Lovey tees, however the name was wrong .ii didn't pay attention to the emails when ordering. My fault , and I don't care for returning.",2024-05-23T20:43:41.000Z
Def Leppard,Rated 5 out of 5 stars,Shirts were great the shirts were a great size graphic on the t's were very clear love them,2024-05-23T20:37:54.000Z
Great shirts and delivered quick.,Rated 5 out of 5 stars,Great shirts and delivered quick.,2024-05-23T20:35:40.000Z
Great for all your tee shirt and sticker whims,Rated 5 out of 5 stars,Print quality is great and the preview on any color is a plus for artists,2024-05-23T20:25:57.000Z
So many choices,Rated 5 out of 5 stars,So many choices! Customer service is great.,2024-05-23T20:22:16.000Z
Quick,Rated 5 out of 5 stars,Quick. Everything understandable even you are not  a native english Person,2024-05-23T20:18:41.000Z
Unfortunately with the white on white…,Rated 1 out of 5 stars,Unfortunately with the white on white option you cannot see the writing. The shirt is white and the writing is white. Not like displayed in the picture  Disappointed.,2024-05-23T20:17:24.000Z
Always easy to order and fast delivery.,Rated 5 out of 5 stars,,2024-05-23T20:04:33.000Z
Will definitely be ordering more,Rated 5 out of 5 stars,"Will definitely be ordering more! My new favorite tshirt! It does stretch out a little after being worn all day, but I don't mind that at all. I just tie it up in the back and its cute AF",2024-05-23T20:01:42.000Z
Terrible print quality from stolen imagery,Rated 1 out of 5 stars,I already contacted support but I still haven't heard back from anyone. I'm not happy with the quality of my order. The print on the baseball tee is crooked and all the images printed on the garments are pixelated and blurry because were stolen off the internet. I worked as a graphic designer and screen printer for years so I know what it looks like when someone does this. It's clear that you do not have the rights to print these copyrighted logos and designs. How have you not been sued yet? I need someone to get back to me. I'm not happy with a single item I ordered but at the very least I need to get the baseball tee replaced because the print is crooked and off centered.,2024-05-23T19:50:56.000Z
Extremely Happy with Purchase,Rated 5 out of 5 stars,Great quality T shirt. Came super quick too!,2024-05-23T19:40:42.000Z
Good tshirts,Rated 5 out of 5 stars,Iv'e bought alot tshirts from your company you guys do a great job and if somethings wrong you make it right keep.up the good work i will continue to use your service,2024-05-23T19:37:42.000Z
It was a quick and easy adventure.…,Rated 5 out of 5 stars,"It was a quick and easy adventure buying Tshirts from TeePublic. The medium Tshirts in ring spun cotton fit well. There are many to choose from. I bought 6 Tshirts and like the quality, artwork and wordings. Definitely a place to come back to. I really love seeing all the different artists, artwork and designs.",2024-05-23T19:35:03.000Z
All of the different t shirt designs!,Rated 5 out of 5 stars,,2024-05-23T19:33:07.000Z
I got exactly what I ordered and what I…,Rated 5 out of 5 stars,I got exactly what I ordered and what I looked at on your website.I am very satisfied.I did have a couple of issues as far as shipment.But it got rectifi'd and I really appreciate the great customer service.,2024-05-23T19:28:35.000Z
Order not receivedYour email said that delivery to David…,Rated 1 out of 5 stars,"Your email said that delivery to David Tyler/ Norwich, CT/ #17713603 would be within 6 - 8 days which was from 12 May.It is the 23, and my brother has not received his order. If I recall correctly, I ordered from your company last year, and had zero problems - hence, no need to contact your business. It is quite difficult to reach a Customer Support person - as a matter of fact - there is zero support. (This email will probably be ignored.)I will give you Zero Stars for Customer SupportThis ""experience"" with Customer Support says 18 May, but it is the 23!Ruth Baker",2024-05-23T19:26:10.000Z
The female curvy fit no longer exists,Rated 1 out of 5 stars,The female curvy fit no longer exists. Be prepared to get a boy cut tee. The neckline is way too high. The sleeves are too long. It no longer has that feminine look. It's terrible. The curvy is why I ordered from TeePublic in the first place. I need to find another place to order fun tees for myself now. Completely bummed.,2024-05-23T19:23:18.000Z
On time delivery.,Rated 4 out of 5 stars,On time delivery.. good transactions…!!!!!!+++++$$$$,2024-05-23T19:20:26.000Z
They did good jobs so far,Rated 5 out of 5 stars,They does good jobs so far. I had no complaints about it. It was awesome jobs. Thanks for everything. Smile. PS sorry I had not responded back to you earlier because I was waiting in my mailbox. The mailman put the wrong address. What a pain in the butts. I got it. Everything is good. Whew! Thanks.,2024-05-23T19:15:57.000Z
Well-made products from independent…,Rated 5 out of 5 stars,"Well-made products from independent designers, quick delivery",2024-05-23T19:11:32.000Z
❤️ the shirts,Rated 5 out of 5 stars,,2024-05-23T18:52:12.000Z
Great T-shirts available,Rated 5 out of 5 stars,"Great T-shirts available! Searching for shirts was super easy, and shipping was fast!",2024-05-23T18:09:24.000Z
Shirt arrived in timely fashion,Rated 5 out of 5 stars,"Shirt arrived in timely fashion, was perfectly made and everything I imagined it would be. I am QUITE pleased with teepublic",2024-05-23T18:09:13.000Z
We love the print,Rated 5 out of 5 stars,"We love the print, great selection options and the shirts turned out fantastic! We bought a family set.",2024-05-23T18:01:59.000Z
Easy to order,Rated 5 out of 5 stars,"Easy to order, fast shipping, fantastic service and products",2024-05-23T18:00:18.000Z
Always GREAT,Rated 5 out of 5 stars,Always GREAT,2024-05-23T17:52:33.000Z
Great Service,Rated 5 out of 5 stars,Shirt came quickly and well packaged. I appreciate this company and its wide variety of options. I thought I was going to have to make my own John Milner Racing shirt and I'm not crafty!,2024-05-23T17:37:35.000Z
Arrived fairly quickly looks great,Rated 5 out of 5 stars,Arrived fairly quickly looks great,2024-05-23T17:28:39.000Z
I ordered 4 shirts all from different…,Rated 3 out of 5 stars,"I ordered 4 shirts all from different artists, and 1 of them, the quality was terrible. After searching the website returns/refunds aren't as easy as I'd like. Will stick with Amazon for my next order.The designer of the terrible quality shirt is 'tsengaus'. Be cautious.",2024-05-23T17:10:16.000Z
It was exactly what I ordered was a…,Rated 5 out of 5 stars,It was exactly what I ordered was a great price and was so beautiful I love it!!!,2024-05-23T17:01:01.000Z
Ordering was good,Rated 4 out of 5 stars,"Ordering was good, the size and quality were good I just didn’t receive it originally. I was pleased when Tee reached out to me and reshipped my order. I received that one timely.Thank you",2024-05-23T16:57:56.000Z
Great designs and wonderful selection…,Rated 5 out of 5 stars,Great designs and wonderful selection of colors.  I think the most brilliant thing is all the different sizes shown on different size bodies both male and female....that has got to be the best idea yet for online ordering size descions!  I have a few now of your awesome tees and love them !,2024-05-23T16:47:03.000Z
You guys always make the experience…,Rated 5 out of 5 stars,You guys always make the experience great by delivering good product on time,2024-05-23T16:46:55.000Z
Great variety of artwork AND you can…,Rated 5 out of 5 stars,Great variety of artwork AND you can choose between several different kinds of shirts.,2024-05-23T16:46:39.000Z
Fast shipping,Rated 5 out of 5 stars,"Fast shipping, amazing shirt!",2024-05-23T16:40:03.000Z
Wrong size sent,Rated 1 out of 5 stars,,2024-05-23T16:35:53.000Z
