Title,Star Rating,Main Content,Review Date
Good prices and selection.,Rated 5 out of 5 stars,,2023-12-19T21:29:10.000Z
Clarity,Rated 5 out of 5 stars,"Clarity, easiness, speediness",2023-12-19T21:27:57.000Z
Ease of using this site.,Rated 5 out of 5 stars,This site was extremely easy to follow.,2023-12-19T21:24:12.000Z
I purchase all of my camera gear from…,Rated 5 out of 5 stars,I purchase all of my camera gear from B&H because they're fast and reliable with a generous return policy.,2023-12-19T21:14:30.000Z
I was helped a lot over chat,Rated 5 out of 5 stars,"I was helped a lot over various chats, all my questions answered, and opinions given when I asked.  This helped me narrow down which camera I wanted to buy.  Shopping online was very easy, and the quick shipment time is a bonus!",2023-12-19T20:56:26.000Z
Quick check out and fast shipping,Rated 5 out of 5 stars,Quick check out and fast shipping. Free 1 day saver. Great. Get order before Christmas.,2023-12-19T20:40:22.000Z
"B&H is my ""go-to"" for most everything…",Rated 5 out of 5 stars,"B&H is my ""good to"" for most everything I need for my build.",2023-12-19T20:35:51.000Z
fast and simple,Rated 5 out of 5 stars,fast and easy ordering,2023-12-19T20:29:00.000Z
website easy to navigate,Rated 5 out of 5 stars,"website easy to navigate; products available immediately, great shipping promo",2023-12-19T20:01:20.000Z
Great selection and quick & easy,Rated 5 out of 5 stars,,2023-12-19T19:56:18.000Z
highly interactive and logical site,Rated 4 out of 5 stars,,2023-12-19T19:30:56.000Z
paper options…,Rated 5 out of 5 stars,I needed information about various papers available.  Mitchell was very helpful.  Thanks so much.,2023-12-19T19:14:47.000Z
The website is well laid out,Rated 5 out of 5 stars,The website is well laid out.  It was very easy to use.,2023-12-19T19:11:00.000Z
I love B and H,Rated 5 out of 5 stars,I love B and H. I go to B and H.,2023-12-19T19:09:23.000Z
B&H has what your looking for,Rated 5 out of 5 stars,"B&H has what your looking for, regardless how obscure the item may be, shipping is quick and free.",2023-12-19T19:05:10.000Z
B&H has what I'm looking for at a fair price,Rated 5 out of 5 stars,"As always, B&H has what I'm looking for at a fair price.",2023-12-19T19:04:04.000Z
Very prompt ordering process,Rated 5 out of 5 stars,Very prompt ordering process. And B&H seem to have everything in stock. Love it.,2023-12-19T19:00:34.000Z
All perfect!,Rated 5 out of 5 stars,"Fantastic customer service, bought an used item and well supported in the choice. Great!",2023-12-19T18:58:50.000Z
Quick and easy,Rated 5 out of 5 stars,Had what I wanted & an easy checkout.,2023-12-19T18:57:11.000Z
Great job,Rated 5 out of 5 stars,"Easy to navigate web site.East to place order.Fast shipping.They are doing a good job, thanks",2023-12-19T18:25:44.000Z
Always fast and accurate with ordering,Rated 5 out of 5 stars,Always fast and accurate with ordering. Highly recommend to anyone who is not familiar with B&H.,2023-12-19T18:23:24.000Z
easy to order,Rated 5 out of 5 stars,,2023-12-19T18:11:58.000Z
B&H is easy to deal with,Rated 5 out of 5 stars,"B&H is easy to deal with, has a good selection of products, provides easy checkout, and prompt delivery of items ordered.",2023-12-19T18:09:48.000Z
"Simple, easy, quick and reliable",Rated 5 out of 5 stars,"Simple, easy, quick and reliable. If there ever is a problem they do everything possible asap to fix it. All I have to say, photographer who has used them for years from all over the globe.",2023-12-19T17:50:21.000Z
I bought through consultan in the…,Rated 5 out of 5 stars,I bought through consultan in the chat...an it was a pleasence  experience,2023-12-19T17:49:14.000Z
"Always consistent, easy and supportive.",Rated 5 out of 5 stars,"Always love shopping at B&H. They are always consistent, easy, competitive and supportive if you ever need them.",2023-12-19T17:47:33.000Z
It is always quick and easy to deal…,Rated 5 out of 5 stars,It is always quick and easy to deal with B&H.  Ordering is easy and the items come quickly.,2023-12-19T17:37:56.000Z
EXCELLENT STORE,Rated 5 out of 5 stars,"EXCELLENT STORE, EXCELENT SERVICE",2023-12-19T17:30:02.000Z
FAST AND FREE SHIPPING BEFORE…,Rated 5 out of 5 stars,FAST AND FREE SHIPPING BEFORE CHRISTMAS!!!!,2023-12-19T17:25:55.000Z
Easy checkout for item I was looking…,Rated 5 out of 5 stars,Easy checkout for item I was looking for. Used for years with no issues.,2023-12-19T17:17:26.000Z
Easy Order,Rated 5 out of 5 stars,"Easy Order, Good Prices",2023-12-19T17:07:52.000Z
amazing,Rated 5 out of 5 stars,amazing! it was fast !!!,2023-12-19T15:50:43.000Z
excellent service fast shipping,Rated 5 out of 5 stars,,2023-12-19T15:49:21.000Z
Truly a great experience.,Rated 5 out of 5 stars,B&H is a great shopping experience from searching and purchasing to returning if necessary. Truly a great experience.,2023-12-19T15:15:27.000Z
Easy shopping online.,Rated 5 out of 5 stars,,2023-12-19T14:49:43.000Z
Item I needed was available,Rated 5 out of 5 stars,Item I needed was available.  Free shipping.,2023-12-19T14:41:10.000Z
Good vendor and delivery ontime,Rated 5 out of 5 stars,,2023-12-19T14:06:23.000Z
Great Daily Flash Deals,Rated 5 out of 5 stars,,2023-12-19T13:40:27.000Z
amazing service and super quick,Rated 5 out of 5 stars,,2023-12-19T11:55:12.000Z
B&H Never Disappoints!,Rated 5 out of 5 stars,Everything on the site was easy to find and the checkout process was easy.,2023-12-19T11:39:14.000Z
Product came with an $80 dollar coupon,Rated 5 out of 5 stars,Product came with an $80 dollar coupon.  That made the difference over buying locally.,2023-12-19T10:47:40.000Z
It's Just Easy,Rated 5 out of 5 stars,It's Just easy.  Good Website and shipping options!,2023-12-19T09:06:47.000Z
This is how an online store should function,Rated 5 out of 5 stars,"In stock, great price, ships to Canada, easy to order.",2023-12-19T08:34:14.000Z
Obscure hard to find item in stock,Rated 5 out of 5 stars,Obscure hard to find item in stockFast and painless ordering,2023-12-19T07:17:00.000Z
Pretty clean and straight forward…,Rated 5 out of 5 stars,Pretty clean and straight forward process.,2023-12-19T06:38:49.000Z
Website easy to search and find…,Rated 5 out of 5 stars,Website easy to search and find information about the items wanted. Checkout went smoothly,2023-12-19T05:40:46.000Z
fast,Rated 5 out of 5 stars,"fast, sure and very simple",2023-12-19T05:38:19.000Z
"As always, B&H provides a great shopping experience.",Rated 5 out of 5 stars,I have been a customer of B&H for over 15 years and their service has always met my expectations.,2023-12-19T04:58:03.000Z
B&H has the things I need,Rated 5 out of 5 stars,"B&H has the things I need, at a good price, and with quick shipping.",2023-12-19T04:52:07.000Z
Your website is easy to use and your…,Rated 5 out of 5 stars,Your website is easy to use and your prices are the best in the business.,2023-12-19T04:27:13.000Z
Great price.,Rated 5 out of 5 stars,,2023-12-19T04:07:19.000Z
Buying and paying is very easy...,Rated 5 out of 5 stars,Buying and paying is very easy and clear.,2023-12-19T02:30:20.000Z
Love this store!,Rated 5 out of 5 stars,"Great products, Great service, Fast shipping, and Great prices!",2023-12-19T01:49:27.000Z
Very easy to send an e-mail gift card!,Rated 5 out of 5 stars,,2023-12-19T01:29:44.000Z
B&H Photo is always my go-to,Rated 5 out of 5 stars,"B&H Photo always has the products I am looing for and at the most competitive prices.  Additionally, they offer excellent shipping options... and most of the time the order is expedited for free!",2023-12-19T01:11:37.000Z
Everything was good.,Rated 5 out of 5 stars,,2023-12-19T01:01:34.000Z
Perfect!,Rated 5 out of 5 stars,Everything smooth and quick,2023-12-19T00:41:11.000Z
Great company and free shipping.,Rated 5 out of 5 stars,Great company and easy to navigate website. I just bought a hard to find flashlight from them. Shipping was free and they shipped right away. Ordered a different flashlight from them today.,2023-12-19T00:33:46.000Z
expert people to work with and fast ship[ping,Rated 5 out of 5 stars,fast shipping,2023-12-19T00:09:33.000Z
Great online experience,Rated 5 out of 5 stars,Products were well illustrated and described.  Reviews and questions/answers were available and formatted so they were easy to read.  Checkout was simple.,2023-12-19T00:01:38.000Z
I've been buying from B&H for years and…,Rated 5 out of 5 stars,I've been buying from B&H for years and they are always reliable.  Their website is easy to navigate and their customer service is always helpful. I wouldn't by camera equipment from anyone else. Thank you B&H.,2023-12-18T23:37:31.000Z
I purchased an item!,Rated 5 out of 5 stars,,2023-12-18T23:35:28.000Z
Quick chat response and directing me to…,Rated 5 out of 5 stars,Quick chat response and directing me to the correct item I was looking for,2023-12-18T23:31:47.000Z
Good Deal,Rated 4 out of 5 stars,It was available before christmas.,2023-12-18T23:26:36.000Z
quick and easy website,Rated 5 out of 5 stars,"the website experience was quick and easy, making shopping very enjoyable.",2023-12-18T23:24:58.000Z
Easy and fast,Rated 5 out of 5 stars,found things easily,2023-12-18T23:23:29.000Z
Great selection,Rated 5 out of 5 stars,Great selection.  Great prices. Very Professional.,2023-12-18T23:02:14.000Z
Don't know just feel right.,Rated 5 out of 5 stars,,2023-12-18T22:28:32.000Z
online catalog,Rated 5 out of 5 stars,online catalog very informative/,2023-12-18T22:24:54.000Z
Great selection,Rated 5 out of 5 stars,,2023-12-18T22:16:52.000Z
Always a great option…,Rated 5 out of 5 stars,Always a great option for this kind of item.  I don’t visit the site often enough,2023-12-18T22:12:18.000Z
B&H is best in class,Rated 5 out of 5 stars,"B&H is best in class. Always impressed by the B&H quality of service, products, and pricing. Top drawer.",2023-12-18T22:02:58.000Z
Fast easy ordering and fast free…,Rated 5 out of 5 stars,Fast easy ordering and fast free delivery.   LOVE B&H for our electronic needs.,2023-12-18T22:00:04.000Z
Good information on product,Rated 5 out of 5 stars,Good information on product. Quick and easy ordering process,2023-12-18T21:43:42.000Z
Ease of reviewing spec's and with the…,Rated 5 out of 5 stars,Ease of reviewing spec's and with the ordering experience.,2023-12-18T21:11:14.000Z
easy and straight forward,Rated 5 out of 5 stars,easy and straight forward.  typing corrections were easy to fix,2023-12-18T21:07:20.000Z
Easy to use and quick response.,Rated 5 out of 5 stars,,2023-12-18T21:05:26.000Z
Simple and clean easy to navigate,Rated 5 out of 5 stars,Simple and clean process is easy to navigate and the quick turnaround insures packages arrive on time.,2023-12-18T20:56:04.000Z
Binocular Purchase - Excellent Experience,Rated 5 out of 5 stars,Smooth search and purchasing experience.,2023-12-18T20:51:30.000Z
Great site,Rated 5 out of 5 stars,Great siteEasy to navigate,2023-12-18T20:50:33.000Z
Easy web site easy to select and order,Rated 5 out of 5 stars,,2023-12-18T20:45:40.000Z
Had what I was looking for in stock and…,Rated 5 out of 5 stars,"Had what I was looking for in stock and offered free, expedited shipping.",2023-12-18T20:44:50.000Z
Y'all are fast and easy to shop!,Rated 5 out of 5 stars,,2023-12-18T20:42:33.000Z
Ease of ordering and checking out.,Rated 5 out of 5 stars,,2023-12-18T20:42:21.000Z
Always easy to find what i want and at…,Rated 5 out of 5 stars,Always easy to find what i want and at a good price,2023-12-18T20:34:48.000Z
Simple way to give my son money towards…,Rated 5 out of 5 stars,Simple way to give my son money towards camera & video equipment he needs and uses for work and personal enjoyment. - Thank you!,2023-12-18T20:23:04.000Z
Fast Easy efficient,Rated 5 out of 5 stars,,2023-12-18T19:36:41.000Z
Adding a comment to an online order,Rated 3 out of 5 stars,Customers need the ability to add a comment/special instructions when placing an order. It would also be helpful to be able to reply directly to customer service from an order confirmation email.,2023-12-18T19:21:15.000Z
EASY TO BUY AND FAST,Rated 5 out of 5 stars,,2023-12-18T19:20:52.000Z
experience and selection great,Rated 5 out of 5 stars,,2023-12-18T19:07:46.000Z
Always the best with B&H,Rated 5 out of 5 stars,Purchasing through B&H is always so easy! They're very fast and reliable. I appreciate the company!,2023-12-18T19:00:53.000Z
Very easy ordering procedure!,Rated 5 out of 5 stars,,2023-12-18T18:56:42.000Z
Good service and great price,Rated 5 out of 5 stars,,2023-12-18T18:20:36.000Z
Quick and easy,Rated 5 out of 5 stars,Excellent website with useable knowledge,2023-12-18T18:08:21.000Z
Ease of use,Rated 5 out of 5 stars,"Ease of use, easy checkout",2023-12-18T18:08:20.000Z
Fast and simple…free shipping!,Rated 5 out of 5 stars,,2023-12-18T18:04:22.000Z
Excellent Website,Rated 5 out of 5 stars,"I like the B&H website, they make it easy to review and purchase produce",2023-12-18T18:02:54.000Z
Good service,Rated 5 out of 5 stars,"Good service, what ever I order, I get and on time.",2023-12-18T17:55:26.000Z
They always have the best prices and…,Rated 5 out of 5 stars,They always have the best prices and the site is easy to use,2023-12-18T17:19:45.000Z
Great products,Rated 5 out of 5 stars,"Great products, fast delivery !!",2023-12-18T17:15:18.000Z
I have shopped B&H for years,Rated 5 out of 5 stars,"I have shopped B&H for years, back to the catalog days before computers. Website always accurate and complete.  Always fast delivery, Never received anything damaged.  Keep up the good work!",2023-12-18T17:01:55.000Z
EHZ Bulbs for tota light,Rated 5 out of 5 stars,"product description, price, easy checkout/shipping.",2023-12-18T16:47:04.000Z
Easy to order,Rated 5 out of 5 stars,,2023-12-18T16:36:44.000Z
Order…,Rated 5 out of 5 stars,The quick response to my question and ordering.,2023-12-18T16:30:38.000Z
Easy to order.,Rated 5 out of 5 stars,,2023-12-18T16:17:36.000Z
quick and easy,Rated 5 out of 5 stars,,2023-12-18T16:05:42.000Z
User friendly checkout user friendly…,Rated 5 out of 5 stars,User friendly checkout user friendly web site,2023-12-18T15:59:38.000Z
I find the website real easy to find…,Rated 5 out of 5 stars,I find the website real easy to find what your looking for and purchase.,2023-12-18T15:11:27.000Z
Fast shipment..,Rated 5 out of 5 stars,Fast shipment... excellent on-line catalog,2023-12-18T15:00:27.000Z
Always Reliable,Rated 5 out of 5 stars,Confidence that what you order will arrive when promised with no excuses.,2023-12-18T14:53:20.000Z
I wanted some odd things,Rated 5 out of 5 stars,"I wanted some odd things, but found them easily.",2023-12-18T14:49:39.000Z
Easy,Rated 5 out of 5 stars,Fast. Accurate. Clear. Easy.,2023-12-18T14:33:28.000Z
Always great price in the Deal…,Rated 5 out of 5 stars,"Always great price in the Deal sections.Easy to order to Canada, no suprise with prepaid duties.",2023-12-18T13:22:36.000Z
There are no negative remarks I can…,Rated 5 out of 5 stars,There are no negative remarks I can make referencing B&H or their staff.  They are knowledgeable and courteous every time.  They ship quickly and items are packed with care.  5 Stars!,2023-12-18T11:50:04.000Z
Very simple checkout procedure,Rated 5 out of 5 stars,Very simple checkout procedure.  Able to find what I'm looking for within a short timeframe.  Don't really see any way you can improve on this system.,2023-12-18T10:48:09.000Z
great price,Rated 5 out of 5 stars,,2023-12-18T09:24:09.000Z
Great site with competitive prices,Rated 5 out of 5 stars,Great site with competitive prices. I like that they've easily available online support. They were very helpful.,2023-12-18T04:38:07.000Z
Seamless Transaction,Rated 5 out of 5 stars,"Simple, seamless and easy to follow directions.",2023-12-18T03:38:04.000Z
Always a good experience!,Rated 5 out of 5 stars,,2023-12-18T03:30:33.000Z
Fairly simple process.,Rated 5 out of 5 stars,,2023-12-18T03:07:18.000Z
Found what I wanted fast,Rated 5 out of 5 stars,Found what I wanted fast. Free shipping,2023-12-18T03:07:07.000Z
Quick and easy to order and to compare…,Rated 5 out of 5 stars,Quick and easy to order and to compare models.,2023-12-18T02:22:52.000Z
best price ever,Rated 5 out of 5 stars,,2023-12-18T01:53:40.000Z
Quick and Easy !,Rated 5 out of 5 stars,,2023-12-18T01:51:44.000Z
Easy payment options,Rated 5 out of 5 stars,Easy payment options! Great reviews-based guidance while shopping.,2023-12-18T01:05:21.000Z
B & H = Full confidence shopping,Rated 5 out of 5 stars,Very good web site. Full of informations. User manuals available at ease for many products. Easy and no surprise check-out. Great store!,2023-12-18T00:54:05.000Z
Great experience,Rated 5 out of 5 stars,"Easy to find, easy to buy, fast delivery.  Great experience, and this is the case for many years.",2023-12-18T00:41:36.000Z
My long time purchasing partner,Rated 5 out of 5 stars,Deals and good pricing always available,2023-12-18T00:37:19.000Z
First of all,Rated 5 out of 5 stars,"First of all, the discount of about 100.00.  Secondly, of course is the ease of checkout.",2023-12-18T00:25:26.000Z
easy to use program,Rated 5 out of 5 stars,,2023-12-18T00:23:09.000Z
Easy to navigate website and products…,Rated 5 out of 5 stars,Easy to navigate website and products are very well described in total detail.,2023-12-17T23:52:53.000Z
Excellent service and sales support,Rated 5 out of 5 stars,,2023-12-17T23:44:22.000Z
"Great Company, Website meh",Rated 3 out of 5 stars,"Pages take a loooooooooooooooong time to load. Otherwise a solid Company. Price and selection are second to none. My first, and usually last, stop for all my photo purchases.",2023-12-17T23:39:09.000Z
Always an easy process from start to…,Rated 5 out of 5 stars,Always an easy process from start to finish.,2023-12-17T23:33:37.000Z
Easy check-out,Rated 5 out of 5 stars,Easy check-outPayboo card is no-brainer for tax-free shoppingExcellent care in shipping as it has always been the case,2023-12-17T23:06:34.000Z
Nice Prices,Rated 5 out of 5 stars,"Nice Prices, Free Shipping, and good products .",2023-12-17T22:59:07.000Z
Very Solid Company,Rated 5 out of 5 stars,Quality products to choose from. Fast service. Website actually works !?! Very solid company. -cc,2023-12-17T22:57:50.000Z
Easy and convienient.,Rated 5 out of 5 stars,,2023-12-17T22:39:07.000Z
The website makes comparing items easy…,Rated 5 out of 5 stars,The website makes comparing items easy and free shipping is always appreciated.,2023-12-17T22:13:54.000Z
You had what I wanted and it was…,Rated 5 out of 5 stars,You had what I wanted and it was reasonably priced.  PayBoo card is great.,2023-12-17T22:10:52.000Z
Easy,Rated 5 out of 5 stars,"Easy, Fast and it was less then on Amazon!",2023-12-17T21:53:37.000Z
Great products and shipping,Rated 5 out of 5 stars,"Great products, easy purchase, free expedited shipping",2023-12-17T21:20:23.000Z
Perfect replacement part,Rated 5 out of 5 stars,Exactly what I needed.,2023-12-17T21:10:54.000Z
Quick and easy,Rated 5 out of 5 stars,"Quick and easy, maybe too easy",2023-12-17T20:48:29.000Z
Leonard was a lot of help,Rated 5 out of 5 stars,"Leonard was a lot of help.  In the end, he helped me make the right decision.  He took the time to answer my many questions.",2023-12-17T20:30:17.000Z
Trouble free purchase.,Rated 5 out of 5 stars,Searched and found ink with no problem.  B&H website is always stress free.,2023-12-17T20:07:00.000Z
Good stock,Rated 5 out of 5 stars,"Good stock, good web site",2023-12-17T20:02:54.000Z
Items in stock and shipping is prompt.,Rated 5 out of 5 stars,,2023-12-17T20:00:34.000Z
The ideal model for e-commerce sites,Rated 5 out of 5 stars,Could not be more intuitive and efficient.,2023-12-17T19:43:20.000Z
Great sale prices,Rated 5 out of 5 stars,"Great sale prices, fast, inexpensive shipping options",2023-12-17T19:26:59.000Z
Simple,Rated 5 out of 5 stars,"Simple, easy way to order Christmas gifts!",2023-12-17T19:26:54.000Z
"so far, so good.",Rated 4 out of 5 stars,"ordering was good, process was good.  We will see about the rest when my order arrives.",2023-12-17T18:52:35.000Z
Last minute as always,Rated 5 out of 5 stars,Quick straightforward ordering process if only for a gift card.,2023-12-17T18:40:00.000Z
The shopping cart allowed me to update…,Rated 5 out of 5 stars,The shopping cart allowed me to update my purchases and cross compare/itemize and revisit. It really improved my experience.,2023-12-17T17:44:22.000Z
Simple purchase process,Rated 5 out of 5 stars,"Website is easy to navigate.  Showing estimated Canadian dollar prices is very helpful. Getting an ""all in"" final amount is great, no surpises upon delivery!",2023-12-17T17:36:19.000Z
The company remembered my credentials…,Rated 5 out of 5 stars,"The company remembered my credentials which inspired confidence, and gave me hope that this would be a successful purchase.",2023-12-17T17:28:52.000Z
A great website.,Rated 5 out of 5 stars,,2023-12-17T17:07:02.000Z
Photographer,Rated 5 out of 5 stars,Always have what you need.,2023-12-17T15:41:15.000Z
Once I had the time down allowed for…,Rated 5 out of 5 stars,Once I had the time down allowed for ordering it went very smoothly. Thank you.,2023-12-17T15:41:04.000Z
payboo card saves on state sales tax,Rated 5 out of 5 stars,Easy ordering process and the payboo credit card gives a rebate on state sales tax.,2023-12-17T14:22:32.000Z
Allway the best store,Rated 5 out of 5 stars,good shopping experience as always,2023-12-17T14:17:23.000Z
Fast,Rated 5 out of 5 stars,"Fast, Professional, Knowledgable, and Courteous.A+ experience",2023-12-15T21:20:44.000Z
Easy ordering experience,Rated 5 out of 5 stars,Easy to understand website,2023-12-15T21:13:09.000Z
The widest array of pro products at…,Rated 5 out of 5 stars,The widest array of pro products at fair prices with fast shipping.,2023-12-15T20:56:44.000Z
always find best quality and service,Rated 5 out of 5 stars,,2023-12-15T20:47:20.000Z
Ease of using login.,Rated 5 out of 5 stars,,2023-12-15T20:02:23.000Z
Always fast shipping,Rated 5 out of 5 stars,"Always fast shipping no BS and quick turnaround with B&H.  I've been buying from BH for 20 years, its my go-to for all things tech.",2023-12-15T19:51:00.000Z
B&H has always provided great products…,Rated 5 out of 5 stars,B&H has always provided great products and excellent service. Thanks,2023-12-15T19:12:37.000Z
Printer ink,Rated 5 out of 5 stars,Just easy and quick,2023-12-15T19:11:31.000Z
to the point and knows what they are…,Rated 5 out of 5 stars,to the point and knows what they are talking about,2023-12-15T18:52:41.000Z
Easy buying process,Rated 5 out of 5 stars,Easy buying process. Great promotions with PayBoo CC.,2023-12-15T18:51:18.000Z
as always quick and easy,Rated 5 out of 5 stars,,2023-12-15T18:40:51.000Z
Upfront ordering with easy access to…,Rated 5 out of 5 stars,"Upfront ordering with easy access to most to the information I would want to review,].",2023-12-15T18:33:18.000Z
B&H does everything well!,Rated 5 out of 5 stars,,2023-12-15T18:28:17.000Z
Easyy website to negotiate,Rated 5 out of 5 stars,"Easyy website to negotiate, great prices",2023-12-15T18:10:17.000Z
Easy,Rated 5 out of 5 stars,"Easy, fast and clear instructions.",2023-12-15T17:52:40.000Z
B7&H has great customerservice!,Rated 5 out of 5 stars,B&H has amazing customer service and their technical expertise is unsurpassed.,2023-12-15T17:48:05.000Z
Great place to shop,Rated 5 out of 5 stars,Nice website. Makes sense and easy to navigate.I've been a B&H customer for years. A great place to shop,2023-12-15T17:43:09.000Z
easy to navigate website,Rated 5 out of 5 stars,"easy to navigate website, good stocking, fast service",2023-12-15T17:36:58.000Z
Easy Ordering,Rated 5 out of 5 stars,The order process is very easy.  All my info is saved making order placement simple. I searched and found exactly what I needed.,2023-12-15T17:33:35.000Z
Easy to reorder and pay with PayBoo…,Rated 5 out of 5 stars,"Easy to reorder and pay with PayBoo card, plus fast, free shipping. Thank you!",2023-12-15T17:19:29.000Z
Always a good experience,Rated 5 out of 5 stars,Items in stock at a price that I am willing to pay.  Quick delivery by following Tuesday.  Prior experience going back to mid 1990's purchasing with B&H.,2023-12-15T17:18:20.000Z
You can't go wrong with B&H,Rated 5 out of 5 stars,"Easy navigation, all the pertinent information always right where you need it, 100% reliable (based on many,  many purchases over the past decade), the absolute best return policy, and the product customer reviews are knowledgeable and helpful. It is not possible to go wrong with B&H.",2023-12-15T16:58:01.000Z
No issues,Rated 5 out of 5 stars,"No issues, very easy.",2023-12-15T16:48:54.000Z
always the best place to purchase…,Rated 5 out of 5 stars,always the best place to purchase everything I need,2023-12-15T16:20:43.000Z
Always a smooth process,Rated 5 out of 5 stars,Always aa smooth process. Clear directions and easy to search and pay for products!!,2023-12-15T16:12:23.000Z
Best Electronics Store in NYC,Rated 5 out of 5 stars,"Best Electronics Store in NYC, maybe in the WORLD!",2023-12-15T15:46:19.000Z
Excellent service and shipping.,Rated 5 out of 5 stars,,2023-12-15T15:32:33.000Z
As usual,Rated 5 out of 5 stars,"As usual, shopping at B&H is easy, with an interface that lets me compare items and see what previous buyers have commented on, what they liked and disliked.  I've bought several different items from B&H and was always happy with the way they do business.",2023-12-15T14:23:41.000Z
Fast and painless,Rated 5 out of 5 stars,Nice range of products and fast and reliable shipments.,2023-12-15T13:32:44.000Z
A reputable and punctual company,Rated 5 out of 5 stars,,2023-12-15T12:49:53.000Z
Web site is easy to do search and…,Rated 5 out of 5 stars,Web site is easy to do search and checkout process is excellent.,2023-12-15T05:10:38.000Z
i love it,Rated 5 out of 5 stars,i love it bandh is amazing!,2023-12-15T03:45:44.000Z
Exceptional product selection & Customer Service,Rated 5 out of 5 stars,"I am a customer that always does thorough homework, researching a topic before making a purchase. B&H offers exceptional customer service. Staff is always professional, knowledgeable and patient. Thanks again, B&H. I am a returning customer and will continue to do so.",2023-12-15T02:40:08.000Z
My son's first camera,Rated 5 out of 5 stars,"It was the place where I bought my son his first camera, and were he continues to spend a big chunk of his money :D The best camera store in the world. If you want to spend all your money, this is the place.",2023-12-15T02:38:03.000Z
Helpful customer service,Rated 5 out of 5 stars,I had sent a chat message to B&H customer service yesterday asking about the best printer for passport and citizenship printing. The customer service rep sent me a link for the one he recommended because of a useful feature it includes.  I just placed the order and hoping it's exactly what I need!,2023-12-15T02:27:09.000Z
Easy,Rated 5 out of 5 stars,Easy! Can't beat B&H!,2023-12-15T02:00:33.000Z
Fast & easy.,Rated 5 out of 5 stars,,2023-12-15T01:03:40.000Z
Always superior service & information!,Rated 5 out of 5 stars,,2023-12-15T00:51:56.000Z
Easy ordering,Rated 5 out of 5 stars,Easy ordering.  Great selection,2023-12-15T00:27:11.000Z
Easy online shopping,Rated 5 out of 5 stars,,2023-12-15T00:14:13.000Z
Great shipping options and good price…,Rated 5 out of 5 stars,Great shipping options and good price easy check out,2023-12-14T23:50:54.000Z
Easy and staff great on the phone,Rated 5 out of 5 stars,,2023-12-14T23:39:42.000Z
Very fast and no problems,Rated 5 out of 5 stars,,2023-12-14T23:31:30.000Z
Easy and accurate search,Rated 5 out of 5 stars,Easy and accurate search. Retention of salient sales and credit info.  Instant acknowledgement and fast shipping,2023-12-14T22:55:29.000Z
very good,Rated 5 out of 5 stars,Super quality customer service,2023-12-14T22:14:59.000Z
Fast easy and just what I needed,Rated 5 out of 5 stars,,2023-12-14T22:14:58.000Z
solar viewing glasses,Rated 5 out of 5 stars,The order was placed quickly and easily,2023-12-14T22:01:48.000Z
YOUR  SITE USED TO BE EASIER TO…,Rated 2 out of 5 stars,YOUR  SITE USED TO BE EASIER TO USE!!!!!!,2023-12-14T21:50:28.000Z
The very best!,Rated 5 out of 5 stars,,2023-12-14T21:19:34.000Z
Replacement,Rated 5 out of 5 stars,Always great with B & H,2023-12-14T21:10:00.000Z
Ease of ordering,Rated 5 out of 5 stars,"Ease of ordering, items in stock!",2023-12-14T20:52:50.000Z
B&H IS A GREAT PLACE TO SHOP!,Rated 5 out of 5 stars,,2023-12-14T20:46:52.000Z
B&H is Awesome!,Rated 5 out of 5 stars,"I've been a customer for many, many years and everything about B&H is great. They have a great selection, great pricing, superior customer service, fast shipping, and because I live nearby, super-fast delivery. I highly recommend B&H; they have never disappointed me!",2023-12-14T20:25:09.000Z
Accurate and fast search results,Rated 5 out of 5 stars,Accurate and fast search results.  Easy checkout,2023-12-14T20:18:03.000Z
B&H is always priced right and the…,Rated 5 out of 5 stars,B&H is always priced right and the website is easy to navigate. Got my order placed in less than a minute.,2023-12-14T19:29:09.000Z
Always easy!,Rated 5 out of 5 stars,,2023-12-14T19:09:22.000Z
Always the best service and easy to buy…,Rated 5 out of 5 stars,Always the best service and easy to buy from - except on Saturdays! (-;,2023-12-14T18:58:41.000Z
Always had a great experience using B&H,Rated 5 out of 5 stars,,2023-12-14T18:46:53.000Z
The website is easy to use,Rated 5 out of 5 stars,"The website is easy to use. The reviews and descriptions of the items are very helpful. When I'm looking for equipment, this is the place I go.",2023-12-14T17:57:27.000Z
It's easy to order it.,Rated 5 out of 5 stars,,2023-12-14T17:55:28.000Z
Easy to order,Rated 5 out of 5 stars,Order was easy to complete on-line.,2023-12-14T17:33:20.000Z
Very well set-up website,Rated 5 out of 5 stars,"Easy to navigate website, clear description of choices. Product was easy to choose and order.",2023-12-14T17:01:10.000Z
Web Site is very user friendly,Rated 5 out of 5 stars,Web Site is very user friendly. Ordering is always fast and easy.,2023-12-14T16:56:27.000Z
Quick checkout,Rated 5 out of 5 stars,,2023-12-14T16:45:59.000Z
Easy and convenient.,Rated 5 out of 5 stars,,2023-12-14T16:21:53.000Z
Free next day delivery,Rated 5 out of 5 stars,,2023-12-14T15:55:01.000Z
Flawless online ordering!,Rated 5 out of 5 stars,,2023-12-14T15:45:55.000Z
Quick and easy,Rated 5 out of 5 stars,Easy to navigate and make purchase on line. Free shipping !,2023-12-14T15:34:11.000Z
The process flowed smoothly and…,Rated 5 out of 5 stars,The process flowed smoothly and logically all the way.,2023-12-14T10:56:01.000Z
